studentid,name,age,gender,degree_branch,ethnicity,parentaleducation,studytimeweekly,absences,tutoring,parentalsupport,extracurricular,sports,music,volunteering,gpa,gradeclass,at_risk
1035,Nisha Khan,16.0,1,B.Tech - Electrical,2,1,14.0,17.0,1,3,0,1,0,0,3.420183814,1,0
1036,Rahul Gupta,15.0,1,BCA,2,2,9.0,15.0,1,3,1,0,1,0,4.0,0,0
1037,Kavya Sharma,18.0,1,BSc Microbiology,2,3,14.0,13.0,1,4,1,0,1,1,3.751129262,0,0
1038,Vikas Patil,15.0,0,BE - Aerospace,0,3,16.0,15.0,0,3,0,1,0,1,3.666326633,0,0
1039,Arjun Gupta,15.0,1,BFSc - Fisheries,0,1,10.0,23.0,0,4,1,0,1,1,3.751951895,0,0
1040,Meera Yadav,17.0,1,BSc - Information Technology,0,0,1.0,16.0,0,4,0,0,1,0,2.74597971,2,1
1041,Priya Patil,17.0,1,BA - Political Science,0,0,20.0,19.0,0,3,1,0,1,0,3.688037829,0,0
1042,Anita Yadav,17.0,1,B.Tech - Electrical,0,2,17.0,10.0,0,4,1,1,0,1,3.074237847,1,0
1043,Ishan Pawar,16.0,1,BE - Biomedical,1,4,3.0,12.0,0,3,1,0,1,1,2.406360192,3,1
1044,Nisha Khan,18.0,1,B.Tech - Information Technology,3,1,8.0,10.0,1,1,1,0,0,0,3.267318807,1,0
1045,Kavya Gupta,18.0,0,BSc Microbiology,0,1,16.0,27.0,0,1,0,1,0,0,2.181328975,3,1
1046,Rahul Yadav,18.0,1,BA - Political Science,0,1,16.0,28.0,1,1,1,1,1,0,2.824026371,2,1
1047,Kunal Patil,18.0,0,BE - Electronics & Communication,2,3,16.0,3.0,0,4,0,0,0,1,3.984488125,0,0
1048,Nisha Malode,17.0,0,BE - Electrical,0,3,15.0,28.0,0,3,1,1,0,0,2.463234713,3,1
1049,Sneha Joshi,16.0,0,BSc - Mathematics,2,3,19.0,25.0,0,3,1,1,0,1,2.680651071,2,0
1050,Aaradhya Patil,16.0,0,BE - Electronics & Communication,2,4,7.0,13.0,0,2,1,0,0,0,2.242560803,3,1
1051,Rahul Joshi,17.0,0,BSc - Physics,3,2,14.0,4.0,1,2,1,0,0,0,3.900645262,0,0
1052,Sahil Joshi,16.0,0,BSc - Physics,0,1,0.0,3.0,0,0,0,0,1,0,2.203670223,3,1
1053,Anita Sharma,17.0,1,BPT - Physiotherapy,1,1,18.0,0.0,0,4,0,1,1,1,4.0,0,0
1054,Ishan Yadav,18.0,1,B.Tech - Civil,0,3,14.0,13.0,0,4,0,0,0,0,3.695881007,0,0
1055,Kavya Joshi,17.0,0,BE - Computer Science,1,3,8.0,6.0,0,3,1,1,0,0,2.607874155,2,0
1056,Sahil Malode,18.0,1,BSc Forestry,0,2,4.0,9.0,0,0,1,1,0,0,2.098069596,3,1
1057,Nisha Malode,18.0,1,BPharm - Pharmaceutical Sciences,0,3,15.0,26.0,0,1,1,0,0,0,3.955567012,0,1
1058,Kunal Reddy,15.0,0,BDes,1,3,12.0,1.0,0,2,0,0,1,0,3.018669521,1,0
1059,Pooja Yadav,17.0,0,BE - Information Technology,1,4,15.0,9.0,0,2,1,0,0,0,4.0,0,0
1060,Arjun Sharma,15.0,1,BSc - Mathematics,2,2,10.0,2.0,0,4,1,0,0,0,3.382542862,1,0
1061,Riya Joshi,17.0,1,BE - Electrical,2,3,12.0,20.0,1,1,1,0,1,0,2.893132738,2,0
1062,Arjun Pawar,17.0,1,BFA,1,1,5.0,7.0,0,2,1,0,0,0,2.33958179,3,1
1063,Manish Deshmukh,15.0,0,BA - English,0,3,19.0,9.0,0,3,0,1,0,1,4.0,0,0
1064,Kunal Patil,15.0,0,BSc Nursing,2,4,16.0,7.0,0,2,1,0,1,0,3.774089009,0,0
1065,Aditya Reddy,17.0,0,BOT - Occupational Therapy,1,2,4.0,13.0,1,1,1,0,0,0,3.549909083,0,1
1066,Kunal Patil,16.0,0,BSc - Chemistry,2,3,16.0,17.0,1,4,0,0,1,1,4.0,0,0
1067,Sanjana Khan,18.0,0,BSW,3,3,0.0,8.0,1,2,1,0,0,0,3.205417598,1,1
1068,Riya Khan,15.0,0,B.Tech - Computer Science,0,0,4.0,21.0,0,3,1,1,1,0,3.824533517,0,1
1069,Meera Deshmukh,18.0,1,BHM - Hotel Management,2,2,4.0,8.0,0,1,1,0,0,0,2.406294523,3,1
1070,Rohan Sharma,16.0,1,BE - Civil,0,1,6.0,29.0,0,4,1,0,0,1,2.569291257,2,1
1071,Arjun Reddy,16.0,0,BE - Computer Science,0,4,15.0,3.0,1,1,1,1,0,0,4.0,0,0
1072,Aditya Khan,16.0,1,BVoc - Food Processing,1,3,17.0,2.0,0,3,0,0,0,0,4.0,0,0
1073,Manish Malode,15.0,0,B.Tech - Electronics & Communication,0,1,5.0,13.0,0,2,1,0,0,1,3.203942986,1,0
1074,Rohan Deshmukh,16.0,0,BSc Environmental Science,2,1,1.0,13.0,1,1,0,1,0,0,2.780771656,2,1
1075,Aaradhya Yadav,15.0,0,BA - English,0,2,12.0,20.0,0,0,1,0,0,0,2.087332467,3,1
1076,Arjun Pawar,16.0,1,BE - Electrical,0,1,9.0,15.0,0,4,0,0,1,0,2.560680606,2,0
1077,Arjun Reddy,,1,B.Tech - Electronics & Communication,1,0,20.0,4.0,0,1,0,0,0,1,,1,0
1078,Arjun Sharma,18.0,1,BE - Electronics & Communication,2,2,19.0,19.0,0,3,1,0,0,0,3.108916564,1,0
1079,Rohan Sharma,17.0,0,BSc - Mathematics,3,2,10.0,28.0,0,3,0,1,0,0,2.148552027,3,1
1080,Anita Gupta,18.0,1,B.Tech - Electrical,2,1,20.0,22.0,0,2,0,1,1,1,2.753207635,2,0
1081,Kunal Reddy,17.0,0,BPharm - Pharmaceutical Sciences,1,3,1.0,23.0,1,1,1,1,0,0,2.883781191,2,1
1082,Ishan Deshmukh,18.0,1,BSc Nursing,0,4,7.0,14.0,1,1,0,0,0,0,2.366694365,3,1
1083,Anita Sharma,15.0,1,BSc - Chemistry,0,3,18.0,20.0,0,3,0,1,0,0,3.530065633,0,0
1084,Amit Reddy,18.0,0,BE - Aerospace,0,3,19.0,30.0,0,2,0,1,0,1,2.376258392,3,1
1085,Riya Joshi,17.0,1,BSc - Chemistry,1,1,16.0,8.0,0,4,1,0,0,0,3.548814101,0,0
1086,Aditya Yadav,17.0,1,BSc - Physics,1,1,15.0,6.0,0,3,0,1,1,1,4.0,0,0
1087,Arjun Pawar,16.0,0,B.Tech - Information Technology,0,1,9.0,12.0,0,4,1,0,1,0,2.602013648,2,0
1088,Manish Joshi,15.0,1,BVoc - Food Processing,2,3,4.0,28.0,0,0,0,0,0,0,3.113923546,1,1
1089,Kunal Patil,18.0,0,B.Tech - Electrical,1,4,13.0,22.0,1,3,0,0,0,0,3.909218515,0,0
1090,Amit Sharma,16.0,1,BFSc - Fisheries,0,3,18.0,7.0,1,1,0,1,0,0,4.0,0,0
1091,Meera Deshmukh,18.0,1,BVoc - Retail Management,0,4,3.0,11.0,0,2,1,0,0,0,3.643743158,0,1
1092,Sahil Sharma,18.0,1,BSc Agriculture,2,3,19.0,3.0,0,3,1,0,0,0,4.0,0,0
1093,Anita Deshmukh,16.0,1,BE - Civil,2,2,15.0,15.0,0,3,0,1,0,0,2.81544776,2,0
1094,Kavya Yadav,16.0,1,BPT - Physiotherapy,2,2,14.0,25.0,0,2,0,0,0,0,3.821092332,0,0
1095,Meera Patil,16.0,0,BSc Nursing,0,0,8.0,28.0,0,3,1,0,0,0,2.864242009,2,1
1096,Riya Sharma,16.0,1,BE - Aerospace,3,0,2.0,28.0,1,2,1,1,0,1,2.313158156,3,1
1097,Rahul Gupta,16.0,0,BDes,0,3,8.0,5.0,1,4,0,0,1,0,3.057716077,1,0
1098,Kavya Malode,18.0,1,BSc Forestry,0,2,17.0,4.0,0,0,0,0,0,1,2.731339337,2,1
1099,Kunal Khan,16.0,0,B.Tech - Mechanical,3,2,3.0,0.0,0,0,1,1,0,0,3.485258205,1,1
1100,Aaradhya Joshi,15.0,0,BE - Aerospace,0,2,18.0,30.0,1,3,1,0,0,1,3.90204423,0,1
1101,Meera Khan,17.0,1,BPharm - Pharmaceutical Sciences,1,1,3.0,13.0,1,3,0,1,0,0,2.936177489,2,1
1102,Sneha Khan,16.0,0,BSc - Mathematics,0,2,8.0,28.0,0,3,0,0,0,0,2.188488741,3,1
1103,Manish Deshmukh,16.0,1,B.Tech - Electrical,1,2,0.0,8.0,0,3,1,1,0,0,2.399131668,3,1
1104,Rahul Patil,18.0,0,BSc Nursing,3,2,0.0,17.0,1,4,0,0,0,0,2.326475561,3,1
1105,Kavya Reddy,16.0,0,BFSc - Fisheries,0,3,19.0,5.0,0,3,0,0,1,0,3.212416613,1,0
1106,Riya Joshi,16.0,1,BFA,1,2,18.0,14.0,0,3,1,0,1,0,3.549295859,0,0
1107,Aditya Joshi,16.0,0,B.Tech - Electronics & Communication,0,3,2.0,30.0,0,3,1,0,0,0,2.782322785,2,1
1108,Nisha Gupta,18.0,0,BVoc - Retail Management,1,4,9.0,15.0,1,4,1,0,0,0,3.444214433,1,0
1109,Manish Patil,16.0,1,BA - Economics,0,4,11.0,7.0,0,2,1,0,1,0,2.840962227,2,0
1110,Kavya Khan,17.0,0,BSc Environmental Science,0,4,17.0,18.0,0,3,1,1,1,0,4.0,0,0
1111,Riya Khan,18.0,1,BSc Environmental Science,0,1,13.0,4.0,1,3,0,0,0,1,3.50411244,0,0
1112,Sahil Patil,17.0,0,BE - Mechanical,0,0,9.0,13.0,1,1,0,0,1,0,3.465359785,1,0
1113,Meera Reddy,18.0,0,B.Tech - Electronics & Communication,3,1,9.0,6.0,1,2,0,0,0,1,3.061367672,1,0
1114,Aaradhya Patil,16.0,1,BE - Computer Science,0,1,17.0,3.0,0,0,1,0,1,1,3.999980839,0,1
1115,Rahul Joshi,17.0,0,BA - Economics,0,4,0.0,29.0,0,1,1,0,0,0,2.0,3,1
1116,Vikas Patil,18.0,0,BSc - Computer Science,0,3,14.0,27.0,0,4,0,0,0,0,3.600999734,0,1
1117,Meera Pawar,15.0,0,B.Tech - Electrical,0,0,7.0,20.0,0,1,0,0,0,1,2.99632819,2,0
1118,Rahul Pawar,16.0,0,BE - Civil,2,1,2.0,0.0,1,3,1,1,0,0,3.588585901,0,1
1119,Meera Pawar,18.0,1,B.Tech - Information Technology,3,1,17.0,3.0,1,2,0,1,0,1,3.494176866,1,0
1120,Meera Deshmukh,15.0,0,BSW,0,3,8.0,29.0,0,3,1,0,0,0,2.938317346,2,1
1121,Rohan Sharma,18.0,1,BHM - Hotel Management,2,3,15.0,13.0,0,1,1,0,0,0,4.0,0,0
1122,Priya Pawar,15.0,1,BA - Economics,1,4,20.0,22.0,0,2,0,0,0,0,2.790530145,2,0
1123,Sneha Patil,16.0,0,B.Tech - Information Technology,0,4,14.0,15.0,0,4,0,1,1,0,4.0,0,0
1124,Sneha Joshi,17.0,1,BSc Agriculture,1,1,4.0,27.0,0,2,0,0,1,0,2.0,3,1
1125,Manish Khan,15.0,0,BCom,1,1,12.0,25.0,0,2,0,1,0,0,2.726308363,2,0
1126,Nisha Joshi,18.0,1,BSc - Computer Science,1,1,19.0,6.0,0,2,1,0,0,0,4.0,0,0
1127,Aaradhya Pawar,16.0,0,BSc Agriculture,2,2,6.0,9.0,1,1,0,0,0,0,3.350462135,1,0
1128,Pooja Malode,15.0,1,BPharm - Pharmaceutical Sciences,0,4,15.0,9.0,0,2,1,1,0,0,4.0,0,0
1129,Anita Pawar,18.0,1,BE - Biomedical,3,2,6.0,3.0,0,0,1,1,1,0,4.0,0,1
1130,Manish Reddy,18.0,0,B.Tech - Civil,2,3,15.0,11.0,1,2,1,0,0,1,4.0,0,0
1131,Sahil Gupta,18.0,1,BE - Chemical,0,2,12.0,5.0,0,4,1,1,0,1,4.0,0,0
1132,Ishan Deshmukh,15.0,1,B.Tech - Mechanical,1,0,16.0,12.0,0,3,0,1,1,1,3.729660233,0,0
1133,Priya Sharma,15.0,0,BSc Horticulture,0,0,8.0,20.0,0,3,0,0,0,0,2.782083346,2,0
1134,Rahul Khan,15.0,0,BFA,3,2,11.0,0.0,1,0,1,1,1,0,3.259184618,1,1
1135,Rahul Patil,17.0,1,BDes,1,3,12.0,7.0,1,4,0,1,0,1,4.0,0,0
1136,Aditya Deshmukh,15.0,1,B.Tech - Civil,0,1,8.0,27.0,1,2,0,0,0,0,2.797158127,2,1
1137,Rahul Sharma,15.0,1,BSc Horticulture,0,3,4.0,22.0,0,4,1,1,0,0,3.979049385,0,1
1138,Vikas Joshi,15.0,1,BJMC - Journalism & Mass Communication,1,3,6.0,30.0,1,1,0,1,1,0,2.671150452,2,1
1139,Sahil Deshmukh,17.0,1,BSc - Information Technology,0,2,0.0,15.0,0,4,0,0,1,1,2.607968531,2,1
1140,Aditya Joshi,15.0,1,BJMC - Journalism & Mass Communication,0,3,3.0,4.0,0,3,1,1,0,0,3.65191609,0,1
1141,Sanjana Patil,18.0,0,BSc - Computer Science,0,2,3.0,28.0,1,0,0,1,0,0,2.0,3,1
1142,Amit Pawar,15.0,0,BSc - Chemistry,0,3,15.0,25.0,0,4,0,0,0,1,2.621573045,2,0
1143,Ishan Patil,18.0,1,B.Tech - Electronics & Communication,0,3,4.0,25.0,1,0,0,0,0,0,2.877325949,2,1
1144,Anita Khan,18.0,1,BE - Chemical,0,4,3.0,6.0,1,3,1,1,1,1,2.666681352,2,1
1145,Kavya Gupta,18.0,0,BCom (Hons),0,1,5.0,30.0,0,4,1,1,1,0,3.310822183,1,1
1146,Meera Joshi,17.0,0,BCom,1,2,2.0,25.0,0,1,1,0,1,1,2.0,3,1
1147,Nisha Reddy,17.0,1,BE - Electrical,1,1,7.0,2.0,0,2,0,0,0,0,3.677779178,0,0
1148,Priya Sharma,17.0,1,BSc Microbiology,0,1,16.0,23.0,1,3,0,0,0,0,3.866964121,0,0
1149,Rahul Patil,15.0,0,BE - Mechanical,0,3,17.0,20.0,0,3,1,0,0,0,4.0,0,0
1150,Ishan Khan,18.0,0,BE - Information Technology,1,4,17.0,1.0,1,4,1,0,0,0,4.0,0,0
1151,Sahil Gupta,17.0,0,BE - Biomedical,0,2,11.0,1.0,0,3,1,1,0,0,3.494472454,1,0
1152,Sanjana Malode,17.0,0,BSc Nursing,0,1,0.0,19.0,0,2,1,1,0,0,3.118328911,1,1
1153,Meera Malode,15.0,0,BE - Aerospace,0,1,11.0,22.0,0,4,1,0,0,0,2.501459266,2,0
1154,Kunal Deshmukh,17.0,0,BVoc - Retail Management,2,2,10.0,29.0,0,4,0,1,0,1,3.689589379,0,1
1155,Sahil Khan,15.0,1,BSc - Information Technology,2,1,12.0,9.0,1,1,0,1,0,0,4.0,0,0
1156,Amit Malode,16.0,0,BPT - Physiotherapy,2,1,2.0,19.0,0,0,1,0,0,1,3.07731548,1,1
1157,Meera Yadav,17.0,1,BE - Civil,2,3,7.0,8.0,0,2,0,1,0,0,2.872658891,2,0
1158,Nisha Yadav,16.0,1,BSc - Mathematics,1,0,2.0,17.0,0,4,0,0,0,1,2.11468708,3,1
1159,Vikas Joshi,15.0,0,BSc - Mathematics,0,2,16.0,5.0,0,1,1,1,1,0,3.643211304,0,0
1160,Kavya Reddy,18.0,1,BPT - Physiotherapy,1,3,12.0,19.0,0,4,0,0,0,0,2.971271233,2,0
1161,Riya Malode,17.0,0,BPharm - Pharmaceutical Sciences,0,1,9.0,5.0,1,4,0,0,0,1,3.860382669,0,0
1162,Priya Joshi,15.0,1,BArch,1,3,16.0,25.0,0,0,1,0,0,1,2.887722635,2,1
1163,Rohan Reddy,18.0,0,B.Tech - Civil,2,3,2.0,24.0,0,2,0,0,0,0,2.0,3,1
1164,Riya Deshmukh,18.0,1,BFA,1,3,12.0,9.0,0,2,1,0,0,0,4.0,0,0
1165,Anita Deshmukh,16.0,1,BCA,0,2,5.0,27.0,0,2,0,0,0,1,3.369333681,1,1
1166,Rohan Malode,15.0,0,BVoc - Retail Management,0,1,13.0,24.0,0,2,1,0,1,0,3.806290475,0,0
1167,Vikas Yadav,18.0,0,BSc Forestry,1,3,9.0,8.0,0,3,0,0,1,0,2.930714044,2,0
1168,Meera Deshmukh,17.0,1,BE - Information Technology,1,3,19.0,8.0,0,3,1,0,0,1,3.916984979,0,0
1169,Vikas Yadav,17.0,1,BVoc - Retail Management,2,1,15.0,2.0,0,4,0,1,0,1,3.432931993,1,0
1170,Anita Deshmukh,16.0,0,BDes,0,1,17.0,11.0,0,2,1,0,0,0,4.0,0,0
1171,Kunal Sharma,18.0,1,BSc Microbiology,2,0,12.0,10.0,1,2,1,0,0,0,4.0,0,0
1172,Ishan Khan,15.0,0,B.Tech - Electrical,1,0,9.0,13.0,0,4,0,1,0,0,3.623071859,0,0
1173,Amit Reddy,17.0,1,BSc Environmental Science,2,2,5.0,24.0,0,2,0,0,0,0,2.822219595,2,0
1174,Vikas Joshi,18.0,0,BSc Agriculture,1,0,9.0,18.0,0,2,1,0,0,0,3.589957726,0,0
1175,Vikas Gupta,18.0,1,BA - Political Science,1,1,4.0,9.0,1,3,0,0,1,0,2.557115194,2,1
1176,Amit Reddy,16.0,0,BE - Information Technology,1,3,5.0,18.0,1,4,1,1,0,1,2.75531401,2,0
1177,Nisha Sharma,17.0,0,BA - English,2,1,6.0,4.0,0,2,0,1,0,1,3.007357522,1,0
1178,Rohan Joshi,17.0,0,BSc - Information Technology,3,3,10.0,21.0,0,2,1,0,0,0,3.185011468,1,0
1179,Kunal Pawar,15.0,0,BE - Aerospace,0,3,15.0,8.0,1,4,1,0,1,1,4.0,0,0
1180,Kunal Reddy,17.0,1,BPharm - Pharmaceutical Sciences,0,1,11.0,0.0,0,0,0,0,0,0,4.0,0,1
1181,Kavya Patil,15.0,0,BCA,3,3,11.0,14.0,1,2,0,0,0,1,2.924090203,2,0
1182,Aditya Malode,17.0,1,BSc Forestry,1,3,19.0,23.0,0,3,0,0,0,0,3.025969308,1,0
1183,Manish Khan,16.0,0,BSc Forestry,1,2,4.0,29.0,0,0,1,1,1,0,2.251296231,3,1
1184,Priya Sharma,17.0,0,B.Tech - Civil,0,1,15.0,29.0,0,3,1,0,1,0,4.0,0,1
1185,Pooja Khan,15.0,0,BCom (Hons),0,2,5.0,3.0,0,0,1,1,0,0,2.514907612,2,1
1186,Sanjana Joshi,15.0,0,BSc Microbiology,2,4,8.0,25.0,1,4,0,1,0,1,4.0,0,0
1187,Amit Patil,16.0,0,BE - Environmental,2,3,4.0,6.0,1,4,0,0,0,0,2.9008382,2,1
1188,Sanjana Yadav,17.0,0,BCom (Hons),0,1,20.0,5.0,0,0,1,1,1,0,4.0,0,1
1189,Kavya Joshi,17.0,1,BE - Electronics & Communication,0,3,15.0,14.0,0,0,1,1,1,0,4.0,0,1
1190,Meera Malode,16.0,0,BSc Nursing,2,2,17.0,5.0,1,3,0,1,0,1,4.0,0,0
1191,Anita Reddy,17.0,1,BA - History,0,2,18.0,6.0,0,2,1,0,0,0,4.0,0,0
1192,Sneha Khan,17.0,1,BSc Nursing,2,3,11.0,19.0,0,3,0,1,1,0,2.716272353,2,0
1193,Rahul Deshmukh,15.0,0,BCom (Hons),0,2,1.0,21.0,0,2,1,1,0,0,3.227403424,1,1
1194,Rahul Sharma,17.0,0,BPT - Physiotherapy,1,3,9.0,2.0,0,1,0,1,0,0,3.854143221,0,0
1195,Anita Joshi,17.0,1,B.Tech - Computer Science,3,3,11.0,20.0,1,2,1,0,0,0,4.0,0,0
1196,Sahil Pawar,16.0,1,BE - Biomedical,1,3,13.0,28.0,0,1,1,1,0,0,2.940626265,2,1
1197,Kunal Gupta,16.0,1,BSc - Chemistry,0,1,17.0,28.0,0,2,1,1,0,1,3.08690691,1,1
1198,Amit Malode,18.0,0,BSc Microbiology,1,3,18.0,29.0,1,3,1,0,1,0,3.93244528,0,1
1199,Priya Sharma,15.0,1,BE - Aerospace,0,4,5.0,30.0,0,3,0,1,1,0,2.189687306,3,1
1200,Anita Sharma,17.0,1,BDes,0,1,4.0,12.0,0,3,1,0,0,1,3.83010983,0,1
1201,Sneha Sharma,17.0,1,BSc Environmental Science,3,2,15.0,1.0,1,2,1,0,1,1,3.641959094,0,0
1202,Arjun Malode,18.0,1,BArch,2,1,13.0,2.0,0,2,0,0,0,0,2.876426844,2,0
1203,Riya Patil,17.0,0,BCA,1,3,12.0,12.0,0,1,1,0,0,1,3.492957131,1,0
1204,Meera Yadav,15.0,0,BPT - Physiotherapy,0,3,20.0,8.0,0,2,1,1,0,1,4.0,0,0
1205,Nisha Khan,18.0,1,BA - Economics,0,1,1.0,21.0,1,3,0,0,1,0,3.200938539,1,1
1206,Ishan Patil,15.0,1,BCom,0,4,1.0,18.0,0,3,1,0,0,0,3.838584463,0,1
1207,Vikas Khan,18.0,0,BCA (Hons),1,1,11.0,17.0,0,2,1,0,1,0,2.571457541,2,0
1208,Amit Sharma,18.0,0,BE - Information Technology,2,3,0.0,4.0,0,3,0,0,0,1,2.869132746,2,1
1209,Amit Yadav,16.0,0,BSc - Chemistry,1,2,18.0,9.0,1,1,1,1,0,0,3.639886013,0,0
1210,Sanjana Malode,15.0,0,BA - History,2,1,15.0,13.0,0,4,0,0,0,0,2.876299132,2,0
1211,Manish Sharma,17.0,1,B.Tech - Mechanical,0,1,6.0,20.0,1,4,0,0,1,0,2.286009308,3,1
1212,Amit Patil,17.0,1,BE - Mechanical,0,1,20.0,16.0,0,2,1,1,0,0,2.828890182,2,0
1213,Amit Reddy,15.0,0,B.Tech - Mechanical,0,3,6.0,2.0,0,2,1,0,1,0,3.307758778,1,0
1214,Kavya Sharma,17.0,0,BSW,0,2,15.0,6.0,1,3,1,1,0,1,4.0,0,0
1215,Sahil Joshi,17.0,0,BE - Electrical,0,1,5.0,8.0,0,2,1,0,0,0,3.679287062,0,0
1216,Meera Deshmukh,15.0,0,BE - Electrical,3,1,17.0,4.0,0,4,1,0,0,1,4.0,0,0
1217,Kavya Gupta,18.0,1,BSc Forestry,0,0,0.0,3.0,0,3,1,0,1,1,2.788033962,2,1
1218,Kunal Deshmukh,15.0,1,BCom,3,3,0.0,2.0,0,3,1,0,0,0,2.321140076,3,1
1219,Amit Patil,18.0,1,BE - Civil,0,3,13.0,25.0,0,2,1,0,0,1,2.50075961,2,0
1220,Ishan Sharma,17.0,0,BSc Microbiology,3,0,5.0,12.0,1,0,1,0,0,0,2.814378087,2,1
1221,Rohan Yadav,17.0,1,BDes,1,2,5.0,8.0,1,1,1,1,0,1,3.000914663,1,0
1222,Kavya Yadav,17.0,1,BSc Environmental Science,3,0,3.0,29.0,0,2,0,0,0,1,2.0,3,1
1223,Anita Patil,16.0,1,BE - Chemical,0,4,11.0,22.0,1,1,1,0,1,1,4.0,0,0
1224,Pooja Patil,18.0,0,BE - Chemical,2,4,17.0,27.0,0,4,1,1,1,0,3.384760464,1,1
1225,Sahil Gupta,16.0,0,BVoc - Food Processing,3,3,9.0,6.0,0,2,0,0,0,1,3.005664015,1,0
1226,Aditya Gupta,16.0,0,BBA,0,4,2.0,29.0,0,4,1,1,1,0,2.494130384,3,1
1227,Kavya Malode,15.0,0,BFA,0,3,2.0,28.0,0,4,1,1,0,0,2.268826566,3,1
1228,Nisha Patil,16.0,0,BE - Aerospace,0,3,7.0,7.0,0,4,0,0,0,1,3.244185959,1,0
